Datetime,Open,High,Low,Close,Adj Close,Volume
2023-11-06 09:15:00+05:30,917.9500122070312,919.5,917.7999877929688,919.2000122070312,919.2000122070312,0
2023-11-06 09:16:00+05:30,919.2000122070312,919.9500122070312,918.6500244140625,919.9500122070312,919.9500122070312,2375
2023-11-06 09:17:00+05:30,920.0,920.0,918.7999877929688,919.4500122070312,919.4500122070312,5410
2023-11-06 09:18:00+05:30,918.9500122070312,919.5499877929688,918.5,918.7999877929688,918.7999877929688,899
2023-11-06 09:19:00+05:30,918.7999877929688,918.7999877929688,918.0999755859375,918.5,918.5,1747
2023-11-06 09:20:00+05:30,918.7999877929688,919.0,918.5,918.8499755859375,918.8499755859375,819
2023-11-06 09:21:00+05:30,919.0,919.1500244140625,918.4500122070312,919.0,919.0,1916
2023-11-06 09:22:00+05:30,919.0,919.0499877929688,918.0,918.6500244140625,918.6500244140625,5079
2023-11-06 09:23:00+05:30,918.5499877929688,919.3499755859375,918.5,919.3499755859375,919.3499755859375,2327
2023-11-06 09:24:00+05:30,919.0999755859375,919.9500122070312,919.0999755859375,919.7999877929688,919.7999877929688,3772
2023-11-06 09:25:00+05:30,919.7999877929688,919.7999877929688,919.0,919.7000122070312,919.7000122070312,2027
2023-11-06 09:26:00+05:30,919.2999877929688,919.9500122070312,919.0499877929688,919.0499877929688,919.0499877929688,1145
2023-11-06 09:27:00+05:30,919.0499877929688,919.3499755859375,919.0,919.0499877929688,919.0499877929688,1840
2023-11-06 09:28:00+05:30,918.9500122070312,920.9500122070312,918.9500122070312,920.5499877929688,920.5499877929688,7970
2023-11-06 09:29:00+05:30,920.9500122070312,922.8499755859375,920.5499877929688,922.8499755859375,922.8499755859375,8289
2023-11-06 09:30:00+05:30,922.9500122070312,923.0,922.5499877929688,922.9000244140625,922.9000244140625,7810
2023-11-06 09:31:00+05:30,923.0,923.2000122070312,921.6500244140625,922.7999877929688,922.7999877929688,9101
2023-11-06 09:32:00+05:30,922.7999877929688,923.5999755859375,922.7999877929688,923.5999755859375,923.5999755859375,4857
2023-11-06 09:33:00+05:30,923.5999755859375,923.5999755859375,922.5499877929688,922.75,922.75,12439
2023-11-06 09:34:00+05:30,922.6500244140625,923.4500122070312,922.6500244140625,923.0,923.0,2803
2023-11-06 09:35:00+05:30,922.9000244140625,923.4000244140625,922.5499877929688,922.5499877929688,922.5499877929688,4975
2023-11-06 09:36:00+05:30,921.8499755859375,921.8499755859375,920.75,920.75,920.75,3564
2023-11-06 09:37:00+05:30,920.2000122070312,920.6500244140625,920.0,920.3499755859375,920.3499755859375,1760
2023-11-06 09:38:00+05:30,920.3499755859375,920.4500122070312,920.0,920.4500122070312,920.4500122070312,1028
2023-11-06 09:39:00+05:30,920.3499755859375,920.4500122070312,919.5,919.75,919.75,1571
2023-11-06 09:40:00+05:30,919.75,920.3499755859375,919.2000122070312,920.2999877929688,920.2999877929688,5531
2023-11-06 09:41:00+05:30,920.0,920.2000122070312,919.1500244140625,919.7000122070312,919.7000122070312,1970
2023-11-06 09:42:00+05:30,919.5999755859375,920.4500122070312,919.5999755859375,920.0,920.0,968
2023-11-06 09:43:00+05:30,919.9000244140625,921.25,919.8499755859375,921.25,921.25,1803
2023-11-06 09:44:00+05:30,921.0,921.0,920.0,920.2999877929688,920.2999877929688,2625
2023-11-06 09:45:00+05:30,920.3499755859375,920.4500122070312,919.6500244140625,920.25,920.25,1722
2023-11-06 09:46:00+05:30,920.25,920.5,920.0,920.5,920.5,835
2023-11-06 09:47:00+05:30,920.5,920.7999877929688,920.25,920.5,920.5,869
2023-11-06 09:48:00+05:30,920.5,920.8499755859375,919.2999877929688,919.75,919.75,1682
2023-11-06 09:49:00+05:30,920.0,920.0,919.0999755859375,919.7000122070312,919.7000122070312,1529
2023-11-06 09:50:00+05:30,919.25,919.6500244140625,918.0999755859375,918.0999755859375,918.0999755859375,3194
2023-11-06 09:51:00+05:30,918.0499877929688,918.8499755859375,918.0499877929688,918.8499755859375,918.8499755859375,2209
2023-11-06 09:52:00+05:30,918.8499755859375,919.0,918.25,919.0,919.0,1407
