Date,Open,High,Low,Close,Adj Close,Volume
2014-07-01,205.46255493164062,205.46255493164062,201.0000457763672,201.82504272460938,188.15328979492188,3755801
2014-07-02,203.2500457763672,205.74380493164062,201.90005493164062,202.8188018798828,189.07974243164062,4300860
2014-07-03,205.1250457763672,209.268798828125,204.05630493164062,208.3125457763672,194.20135498046875,5977243
2014-07-04,209.8125457763672,209.831298828125,203.96255493164062,205.0312957763672,191.14236450195312,3034831
2014-07-07,205.8750457763672,209.6250457763672,205.8750457763672,209.1000518798828,194.9355010986328,5220129
2014-07-08,209.2500457763672,209.5688018798828,205.5000457763672,206.1562957763672,192.19113159179688,3449900
2014-07-09,205.9687957763672,208.08755493164062,202.987548828125,204.487548828125,190.63546752929688,2615415
2014-07-10,204.7500457763672,209.2500457763672,202.5000457763672,204.2812957763672,190.4431610107422,4415220
2014-07-11,206.3813018798828,208.76255798339844,205.143798828125,207.3188018798828,193.27491760253906,4082209
2014-07-14,207.0000457763672,208.1250457763672,201.3750457763672,202.050048828125,188.3630828857422,3768057
2014-07-15,201.80630493164062,203.40005493164062,200.32504272460938,200.9438018798828,187.33177185058594,2501143
2014-07-16,202.38754272460938,202.38754272460938,199.7812957763672,200.737548828125,187.1394805908203,2354594
2014-07-17,200.9438018798828,204.24380493164062,200.2500457763672,201.5063018798828,187.85618591308594,4419388
2014-07-18,204.4125518798828,208.1250457763672,204.07505798339844,205.143798828125,191.24725341796875,9440653
2014-07-21,206.268798828125,207.52505493164062,203.4375457763672,204.35630798339844,192.27044677734375,5379275
2014-07-22,204.05630493164062,210.3750457763672,203.4750518798828,209.5312957763672,197.139404296875,4976254
2014-07-23,209.8125457763672,214.76255798339844,207.90005493164062,214.08755493164062,201.42616271972656,5953011
2014-07-24,215.2500457763672,217.50006103515625,210.6000518798828,216.3188018798828,203.52548217773438,8005061
2014-07-25,198.7500457763672,208.1250457763672,198.7500457763672,206.643798828125,194.42266845703125,18913347
2014-07-28,207.05630493164062,209.550048828125,204.3750457763672,208.893798828125,196.53958129882812,4487249
2014-07-30,208.83755493164062,208.9125518798828,205.8750457763672,206.5312957763672,194.3168182373047,5222100
2014-07-31,206.268798828125,206.6250457763672,202.893798828125,204.15005493164062,192.07638549804688,9516320
2014-08-01,204.0000457763672,204.80630493164062,200.6250457763672,201.0000457763672,189.11268615722656,4580060
2014-08-04,201.07504272460938,206.2500457763672,201.0000457763672,205.74380493164062,193.57589721679688,6850595
2014-08-05,206.175048828125,206.86880493164062,203.9062957763672,206.081298828125,193.8934326171875,2803116
2014-08-06,204.675048828125,207.206298828125,204.675048828125,206.77505493164062,194.54617309570312,5070577
2014-08-07,205.1250457763672,207.9375457763672,200.6250457763672,207.24380493164062,194.98716735839844,5844086
2014-08-08,206.58755493164062,206.8500518798828,202.9125518798828,205.518798828125,193.36419677734375,2647916
2014-08-11,206.32505798339844,206.4375457763672,202.57504272460938,203.60629272460938,191.56480407714844,3518113
2014-08-12,204.3750457763672,204.5625457763672,202.9125518798828,203.9062957763672,191.8470458984375,3136708
2014-08-13,203.6625518798828,206.831298828125,203.51254272460938,206.3437957763672,194.14039611816406,3558489
